time,close,high,low,open,volumefrom,volumeto
1493683200,15.57,15.88,14.94,15.74,680255.23,10808154.92
1493769600,20.53,26.52,15.51,15.57,4355708.31,87432364.09
1493856000,22.95,26.68,20.35,20.53,4406989.88,101954652.57
1493942400,25.2,27.16,22.41,22.95,3182968.53,81502296.36
1494028800,27.46,27.93,24.81,25.2,1446194.63,38740868.93
1494115200,29.5,30.91,27.3,27.46,2189348.96,64930012.6
1494201600,28.1,29.83,27.11,29.5,1481250.67,42746336.28
1494288000,31.77,32.44,23.28,28.1,3165969.12,88418239.63
1494374400,31.28,36.47,29.04,31.77,3749249.48,124969930.37
1494460800,29.88,32.08,26.98,31.28,2127559.8,63878910.83
1494547200,26.76,30.78,25.56,29.88,1678280.4,48199985.99
1494633600,28.14,28.18,24.47,26.76,1307096.48,34940101.96
1494720000,28.07,29.86,26.79,28.14,948382.95,27363120.18
1494806400,24.5,28.09,23.23,28.07,1452780.05,37537464.07
1494892800,22.83,25.15,20.92,24.5,2254474.46,53456345.98
1494979200,25.06,26,20.32,22.83,2519724.28,59239250.24
1495065600,27.88,28.79,24.44,25.06,1721363.45,46063027.72
1495152000,27.27,28.2,26.19,27.88,1358547.95,37085394.31
1495238400,27.42,28.17,26.66,27.27,744374.3,20413017.89
1495324800,26.02,28.54,25.26,27.42,1255850.56,33593334.57
1495411200,24.79,26.7,22.82,26.02,2143563.29,53140116.4
1495497600,31.36,31.72,24.4,24.79,2426931.59,69453835.06
1495584000,34.8,35.94,29.85,31.36,2329423.55,76427969.4
1495670400,28.32,35.76,26.07,34.8,2655714.72,82873114.27
1495756800,24.45,31.35,23.35,28.32,2293954.54,62136621.23
1495843200,22.83,25.94,18.13,24.45,2924934.35,63559697.72
1495929600,23.89,25.92,21.79,22.83,1600758.66,37736853.79
1496016000,25.33,25.99,23.01,23.89,1019676.88,25039934.6
1496102400,23.89,26.33,23.54,25.33,1156827.3,28996976.43
1496188800,25.91,25.99,23.51,23.89,1021629.99,25232341.83
1496275200,27.55,29.61,25.77,25.91,1823401.75,49800957.2
1496361600,28.27,28.65,26.78,27.55,813270.71,22513588.19
1496448000,27.27,28.56,26.81,28.27,615398.94,16824195.81
1496534400,27.89,27.93,26.86,27.27,577995.32,15762467.44
